DECADE,YEAR,TITLE,PRIMARYCATEGORY,DESCRIPTION,SOURCE,IMAGE,radius
2010s,2011,99%,Social Movements,,,https://musingsfromunderthebus.files.wordpress.com/2014/07/we-are-the-99-percent-2.jpg,15
2000s,2001,24,TV,,,http://cimg.tvgcdn.net/i/r/2015/06/01/cfae10b7-35ff-4c02-85be-2d8f8ae3df07/thumbnail/1300x867/7f9e70dae6e0eea34be0fbdca7a68e1e/150601-news-keifer.jpg,15
2000s,2001,11-Sep,Event,,,http://stateofthenation2012.com/wp-content/uploads/2014/05/clark4-800x555.jpg,15
1990s,1990,90210,TV,,,http://vignette2.wikia.nocookie.net/90210/images/c/cf/TiffKellyKapowski.jpg/revision/latest?cb=20101218004442,15
2010s,2013,24hrs of Happy,Music,,,http://asset1.itsnicethat.com/system/files/112013/528f2af45c3e3c3557003d80/img_full_width/hero.jpg?1385114824,15
1990s,1991,Achtung Baby,Music,,,http://media.u2.com/non_secure/images/20090214/discography/albumcover_achtungb/600.jpg,15
2000s,2000,American Psycho,Film,,,http://urbynloft.com/wp-content/uploads/2014/09/american-psycho.jpg,15
2000s,2006,An Inconvenient Truth,Social Movements,,,https://vialogue.files.wordpress.com/2009/04/inconvenient_truth.jpg,15
1990s,1999,Apple: Hal 2000,Advertising,,,http://www.vivelapub.fr/wp-content/uploads/2011/11/hal9000.jpg,15
2000s,2009,Avatar,Film,,,https://upload.wikimedia.org/wikipedia/en/b/b0/Avatar-Teaser-Poster.jpg,15
1980s,1985,Back to the Future,Film,,,http://www.movierulz.to/wp-content/uploads/2013/05/Back-to-the-Future1.jpg,15
2010s,2011,Back to the Start,Advertising,,http://adage.com/article/special-report-marketer-alist-2012/chipotle-leaps-forward-back-start/238415/,http://dayle.me/nicedeedsbynicepeople/wp-content/uploads/2011/11/Screen-shot-2011-11-01-at-5.16.12-PM-1024x553.png,15
2000s,2007,Banksy,Icons,,,http://joohnchoe.com/wp-content/uploads/2014/05/banksy-grenade-1.jpg,15
2010s,2013,Batkid,Event,,,http://a.abcnews.com/images/US/AP_batkid_makeawish_lpl_131115_16x9_992.jpg,15
1980s,1989,Baywatch,TV,,,http://1.bp.blogspot.com/_kJP7skqpG_I/SwHdUoH35VI/AAAAAAAAASI/Jp-1n67_wME/s1600/1989_baywatch_005.jpg,15
1990s,1999,Beyonce,Icons,,,http://img.cache.vevo.com/Content/VevoImages/video/CC09026BB99BD11162B4F8A7F634BD04.jpg,15
2010s,2014,Black Mirror,TV,"Originally aired in 2011 in the UK, Black Mirror made its way to Netflix in 2014. It is an unsettling, fictional series about the dark side of techology's potential. Never daring too far in the untennable science fiction direction, the show demonstrates the role of universal truth in a new age.",http://www.engadget.com/2015/05/12/black-mirror-netflix/,https://s3-eu-west-1.amazonaws.com/mpc.website.assets/files/content/gallery/201303/8bf8c59d-c558-4a53-bd83-1c6deaf45a87_b4b897d2_image.jpg,15
2000s,2006,Borat,Film,,,https://upload.wikimedia.org/wikipedia/en/3/39/Borat_ver2.jpg,15
1980s,1989,Born on the 4th of July,Film,,,https://upload.wikimedia.org/wikipedia/en/5/58/Born_On_The_4th_Of_July.jpg,15
2000s,2008,Breaking Bad,TV,"A story about a good guy doing bad things for the right reasons, Breaking Bad amassed a huge cult following over the course of five seasons. Overall, it won 16 Emmy awards along with 58 nominations, and average number of viewers increased from 1.2 million to 4.3 million during that time.",https://en.wikipedia.org/wiki/Breaking_Bad,http://static.comicvine.com/uploads/original/11112/111123979/3258498-breaking-bad-season-five-poster.jpeg,15
1980s,1984,Bruce Springstein: Born in the U.S.A.,Music,"Initially received as a celebration of Reaganomics and embraced by the President himself, Springsteen later revealed that the album was purely intended to make Americans feel good about the country they lived in. In fact, many of the songs pointed directly to the struggle happening in America, underneath the veneer of Reaganomics.",http://www.shmoop.com/reagan-era/culture.html,http://blog.thecurrent.org/files/2014/06/Bruce-Springsteen-Born-in-the-USA.jpg,15
